Topics,Alpha,Beta,Coherence
2,0.01,0.01,0.3936298873838829
2,0.01,0.31,0.3891945998023437
2,0.01,0.61,0.3912621149903058
2,0.01,0.9099999999999999,0.3912621149903058
2,0.31,0.01,0.39729588402579763
2,0.31,0.31,0.3891945998023437
2,0.31,0.61,0.3912621149903058
2,0.31,0.9099999999999999,0.3912621149903058
2,0.61,0.01,0.39729588402579763
2,0.61,0.31,0.39729588402579763
2,0.61,0.61,0.39936571327789966
2,0.61,0.9099999999999999,0.386900042647832
2,0.9099999999999999,0.01,0.39729588402579763
2,0.9099999999999999,0.31,0.39729588402579763
2,0.9099999999999999,0.61,0.39729588402579763
2,0.9099999999999999,0.9099999999999999,0.39936411426631424
3,0.01,0.01,0.3848610153539047
3,0.01,0.31,0.37969327236085276
3,0.01,0.61,0.3758278513170567
3,0.01,0.9099999999999999,0.3801163973839054
3,0.31,0.01,0.3895520835610993
3,0.31,0.31,0.3943138316742969
3,0.31,0.61,0.3764667577727376
3,0.31,0.9099999999999999,0.3746503014085534
3,0.61,0.01,0.38873803124854067
3,0.61,0.31,0.3882278862650413
3,0.61,0.61,0.3768783046876549
3,0.61,0.9099999999999999,0.3673891976597396
3,0.9099999999999999,0.01,0.39276481986238293
3,0.9099999999999999,0.31,0.38873803124854067
3,0.9099999999999999,0.61,0.3771683808340036
3,0.9099999999999999,0.9099999999999999,0.37481698717862416
4,0.01,0.01,0.37389815524991393
4,0.01,0.31,0.35332642514434065
4,0.01,0.61,0.34568319732750996
4,0.01,0.9099999999999999,0.32704869059287134
4,0.31,0.01,0.36493880517033894
4,0.31,0.31,0.3591073567509887
4,0.31,0.61,0.3502708178666942
4,0.31,0.9099999999999999,0.3321712868975556
4,0.61,0.01,0.36131826681619694
4,0.61,0.31,0.35644224973766536
4,0.61,0.61,0.3524525064748295
4,0.61,0.9099999999999999,0.33511518676166646
4,0.9099999999999999,0.01,0.361318266816197
4,0.9099999999999999,0.31,0.3562049104145114
4,0.9099999999999999,0.61,0.35427644585821016
4,0.9099999999999999,0.9099999999999999,0.3526881288986444
5,0.01,0.01,0.36462689648769386
5,0.01,0.31,0.3572005632810685
5,0.01,0.61,0.32422885568921245
5,0.01,0.9099999999999999,0.3045551632849571
5,0.31,0.01,0.35607584421874816
5,0.31,0.31,0.3432151356836858
5,0.31,0.61,0.32787850374148686
5,0.31,0.9099999999999999,0.31060953136629155
5,0.61,0.01,0.35248028301759743
5,0.61,0.31,0.3421931122024704
5,0.61,0.61,0.32813957336156985
5,0.61,0.9099999999999999,0.31294238415511383
5,0.9099999999999999,0.01,0.35912058128643815
5,0.9099999999999999,0.31,0.3482656465780366
5,0.9099999999999999,0.61,0.3367141937807873
5,0.9099999999999999,0.9099999999999999,0.3254228506270317
6,0.01,0.01,0.3513226536269583
6,0.01,0.31,0.34260505091611065
6,0.01,0.61,0.3161480504809388
6,0.01,0.9099999999999999,0.3090777820515735
6,0.31,0.01,0.3507936054742283
6,0.31,0.31,0.3399645467009113
6,0.31,0.61,0.31200264569532443
6,0.31,0.9099999999999999,0.3019736338930985
6,0.61,0.01,0.3432363494050669
6,0.61,0.31,0.3437526294704425
6,0.61,0.61,0.3100849380471313
6,0.61,0.9099999999999999,0.3089156067281988
6,0.9099999999999999,0.01,0.3485990017567046
6,0.9099999999999999,0.31,0.34898471383100854
